Date,Open,High,Low,Close,Volume
2017-08-02,22004.359375,22036.099609375,21967.4609375,22016.240234375,3368200
2017-08-03,22007.580078125,22044.849609375,21991.3203125,22026.099609375,2787300
2017-08-04,22058.390625,22092.810546875,22024.640625,22092.810546875,2536400
2017-08-07,22100.19921875,22121.150390625,22081.970703125,22118.419921875,2130100
2017-08-08,22095.140625,22179.109375,22057.2890625,22085.33984375,2620000
2017-08-09,22022.33984375,22057.189453125,21996.689453125,22048.69921875,2778000
2017-08-10,21988.19921875,21988.19921875,21843.939453125,21844.009765625,3033100
2017-08-11,21883.3203125,21911.08984375,21842.740234375,21858.3203125,2377900
2017-08-14,21945.640625,22019.23046875,21945.640625,21993.7109375,2350300
2017-08-15,22029.91015625,22038.919921875,21971.48046875,21998.990234375,2690700
2017-08-16,22031.9296875,22085.7109375,22002.470703125,22024.869140625,2649200
2017-08-17,21984.740234375,21984.740234375,21750.3203125,21750.73046875,3110300
2017-08-18,21724.880859375,21793.349609375,21641.630859375,21674.509765625,3090700
2017-08-21,21671.359375,21718.740234375,21600.33984375,21703.75,2778800
2017-08-22,21739.779296875,21912.830078125,21738.130859375,21899.890625,2449800
2017-08-23,21850.26953125,21866.66015625,21808.390625,21812.08984375,2348100
2017-08-24,21839.900390625,21870.109375,21765.8203125,21783.400390625,2284800
2017-08-25,21819.080078125,21906.859375,21812.810546875,21813.669921875,2175700
2017-08-28,21832.5,21861.490234375,21767.939453125,21808.400390625,2187400
2017-08-29,21718.0,21879.220703125,21673.580078125,21865.369140625,2273400
2017-08-30,21859.759765625,21914.259765625,21839.470703125,21892.4296875,2428400
2017-08-31,21936.009765625,21985.759765625,21910.5,21948.099609375,3767900
2017-09-01,21981.76953125,22038.970703125,21974.91015625,21987.560546875,2562400
2017-09-05,21912.369140625,21921.08984375,21709.630859375,21753.310546875,3328400
2017-09-06,21815.759765625,21849.240234375,21794.0703125,21807.640625,3187600
2017-09-07,21820.380859375,21850.009765625,21745.7109375,21784.779296875,3338100
2017-09-08,21764.4296875,21846.630859375,21731.119140625,21797.7890625,2894000
2017-09-11,21927.7890625,22067.099609375,21927.7890625,22057.369140625,3127700
2017-09-12,22090.560546875,22134.5703125,22087.08984375,22118.859375,3645800
